year,state,rate,bracket
2018,,5.00%,"$5,250"
2018,,6.00%,"$7,000"
2018,,,
2018,Hawaii,1.40%,$0
2018,"(w, hh)",3.20%,"$2,400"
2018,,5.50%,"$4,800"
2018,,6.40%,"$9,600"
2018,,6.80%,"$14,400"
2018,,7.20%,"$19,200"
2018,,7.60%,"$24,000"
2018,,7.90%,"$36,000"
2018,,8.25%,"$48,000"
2018,,9.00%,"$150,000"
2018,,10.00%,"$175,000"
2018,,11.00%,"$200,000"
2018,,,
2018,Idaho,1.60%,$0
2018,"(a, e, p)",3.60%,"$1,472"
2018,,4.10%,"$2,945"
2018,,5.10%,"$4,417"
2018,,6.10%,"$5,890"
2018,,7.10%,"$7,362"
2018,,7.40%,"$11,043"
2018,,,
2018,"Ill. (dd, hh)",4.95%,$0
2018,,,
2018,"Ind. (x, gg, hh)",3.23%,$0
2018,,,
2018,Iowa,0.36%,$0
2018,"(f, r, gg)",0.72%,"$1,598"
2018,,2.43%,"$3,196"
2018,,4.50%,"$6,392"
2018,,6.12%,"$14,382"
2018,,6.48%,"$23,970"
2018,,6.80%,"$31,960"
2018,,7.92%,"$47,940"
2018,,8.98%,"$71,910"
2018,,,
2018,Kans. (hh),3.10%,"$2,500"
2018,,5.25%,"$15,000"
2018,,5.70%,"$30,000"
2018,,,
2018,Ky.,2.00%,$0
2018,"(r, gg)",3.00%,"$3,000"
2018,,4.00%,"$4,000"
2018,,5.00%,"$5,000"
2018,,5.80%,"$8,000"
2018,,6.00%,"$75,000"
2018,,,
2018,La.,2.00%,$0
2018,"(f, n)",4.00%,"$12,500"
2018,,6.00%,"$50,000"
2018,,,
2018,Maine,5.80%,$0
2018,"(e, p)",6.75%,"$21,450"
2018,,7.15%,"$50,750"
2018,,,
2018,Md.,2.00%,$0
2018,"(o, y, gg, hh)",3.00%,"$1,000"
2018,,4.00%,"$2,000"
2018,,4.75%,"$3,000"
2018,,5.00%,"$100,000"
2018,,5.25%,"$125,000"
2018,,5.50%,"$150,000"
2018,,5.75%,"$250,000"
2018,,,
2018,Mass.,5.10%,$0
2018,,,
2018,Mich. (gg),4.25%,$0
2018,,,
2018,Minn.,5.35%,$0
2018,,7.05%,"$25,890"
2018,,7.85%,"$85,060"
2018,,9.85%,"$160,020"
2018,,,
2018,Miss.,3.00%,"$1,000"
2018,,4.00%,"$5,000"
2018,,5.00%,"$10,000"
2018,,,
2018,Mo.,1.50%,$100
2018,"(a, e, p, gg, hh)",2.00%,"$1,008"
2018,,2.50%,"$2,016"
2018,,3.00%,"$3,024"
2018,,3.50%,"$4,032"
2018,,4.00%,"$5,040"
2018,,4.50%,"$6,048"
2018,,5.00%,"$7,056"
2018,,5.50%,"$8,064"
2018,,5.90%,"$9,072"
2018,,,
2018,Mont.,1.00%,$0
2018,"(e, f, q)",2.00%,"$3,000"
2018,,3.00%,"$5,200"
2018,,4.00%,"$8,000"
2018,,5.00%,"$10,800"
2018,,6.00%,"$13,900"
2018,,6.90%,"$17,900"
2018,,,
2018,Nebr.,2.46%,$0
2018,"(r, bb, hh)",3.51%,"$3,150"
2018,,5.01%,"$18,880"
2018,,6.84%,"$30,420"
2018,,,
2018,Nev.,none,none
2018,,,
2018,N.H. (c),5.00%,$0
2018,,,
2018,N.J. (gg),1.40%,$0
2018,,1.75%,"$20,000"
2018,,3.50%,"$35,000"
2018,,5.525%,"$40,000"
2018,,6.37%,"$75,000"
2018,,8.97%,"$500,000"
2018,,,
2018,,,
2018,N.M.,1.70%,$0
2018,(i),3.20%,"$5,500"
2018,,4.70%,"$11,000"
2018,,4.90%,"$16,000"
2018,,,
2018,N.Y.,4.00%,$0
2018,"(bb, gg, hh)",4.50%,"$8,500"
2018,,5.25%,"$11,700"
2018,,5.90%,"$13,900"
2018,,6.33%,"$21,400"
2018,,6.57%,"$80,650"
2018,,6.85%,"$215,400"
2018,,8.82%,"$1,077,550"
2018,,,
2018,N.C.,5.499%,$0
2018,,,
2018,N.D.,1.10%,$0
2018,"(a, e, p, z)",2.04%,"$38,700"
2018,,2.27%,"$93,700"
2018,,2.64%,"$195,450"
2018,,2.90%,"$424,950"
2018,,,
2018,Ohio,1.980%,"$10,650"
2018,"(a, e, g, gg)",2.746%,"$16,000"
2018,,2.969%,"$21,350"
2018,,3.465%,"$42,650"
2018,,3.960%,"$85,300"
2018,,4.597%,"$106,650"
2018,,4.997%,"$213,350"
2018,,,
2018,Okla.,0.50%,$0
2018,"(h, hh)",1.00%,"$1,000"
2018,,2.00%,"$2,500"
2018,,3.00%,"$3,750"
2018,,4.00%,"$4,900"
2018,,5.00%,"$7,200"
2018,,,
2018,Ore.,5.00%,$0
2018,,7.00%,"$3,450"
2018,,9.00%,"$8,700"
2018,,9.90%,"$125,000"
2018,,,
2018,Pa. (gg),3.07%,$0
2018,,,
2018,R.I.,3.75%,$0
2018,(k),4.75%,"$62,550"
2018,,5.99%,"$149,150"
2018,,,
2018,S.C.,3.00%,"$2,970"
2018,"(e, p)",4.00%,"$5,940"
2018,,5.00%,"$8,910"
2018,,6.00%,"$11,880"
2018,,7.00%,"$14,860"
2018,,,
2018,S.D.,none,none
2018,,,
2018,Tenn. (c),3.00%,$0
2018,,,
2018,Tex.,none,none
2018,,,
2018,Utah,5.00%,$0
2018,,,
2018,Vt.,3.55%,$0
2018,"(a, e, p, ee)",6.80%,"$37,900"
2018,,7.80%,"$91,850"
2018,,8.80%,"$191,650"
2018,,8.95%,"$416,650"
2018,,,
2018,Va. (hh),2.00%,$0
2018,,3.00%,"$3,000"
2018,,5.00%,"$5,000"
2018,,5.75%,"$17,000"
2018,,,
2018,Wash.,none,none
2018,,,
2018,W.Va. (hh),3.00%,$0
2018,,4.00%,"$10,000"
2018,,4.50%,"$25,000"
2018,,6.00%,"$40,000"
2018,,6.50%,"$60,000"
2018,,,
2018,Wis.,4.00%,$0
2018,"(a, e, m, hh)",5.84%,"$11,230"
2018,,6.27%,"$22,470"
2018,,7.65%,"$247,350"
2018,,,
2018,Wyo.,none,none
2018,,,
2018,D.C.,4.00%,$0
2018,"(j, p)",6.00%,"$10,000"
2018,,6.50%,"$40,000"
2018,,8.50%,"$60,000"
2018,,8.75%,"$350,000"
2018,,8.95%,"$1,000,000"
2018,,,
2017,"(b, f)",4.00%,$500
2017,,5.00%,"$3,000"
2017,,,
2017,Alaska,none,none
2017,,,
2017,Ariz.,2.59%,$0
2017,(e),2.88%,"$10,179"
2017,,3.36%,"$25,445"
2017,,4.24%,"$50,890"
2017,,4.54%,"$152,668"
2017,,,
2017,Ark.,0.90%,$0
2017,"(a, d, e, bb)",2.50%,"$4,299"
2017,,3.50%,"$8,500"
2017,,4.50%,"$12,699"
2017,,6.00%,"$21,199"
2017,,6.90%,"$35,100"
2017,,,
2017,Calif.,1.00%,$0
2017,"(e,",2.00%,"$8,015"
2017,"r, s)",4.00%,"$19,001"
2017,,6.00%,"$29,989"
2017,,8.00%,"$41,629"
2017,,9.30%,"$52,612"
2017,,10.30%,"$268,750"
2017,,11.30%,"$322,499"
2017,,12.30%,"$537,498"
2017,,13.30%,"$1,000,000"
2017,,,
2017,Colo.,4.63%,$0
2017,,,
2017,Conn.,3.00%,$0
2017,"(t, u)",5.00%,"$10,000"
2017,,5.50%,"$50,000"
2017,,6.00%,"$100,000"
2017,,6.50%,"$200,000"
2017,,6.90%,"$250,000"
2017,,6.99%,"$500,000"
2017,,,
2017,Del.,2.20%,"$2,000"
2017,"(f, r, v)",3.90%,"$5,000"
2017,,4.80%,"$10,000"
2017,,5.20%,"$20,000"
2017,,5.55%,"$25,000"
2017,,6.60%,"$60,000"
2017,,,
2017,Fla.,none,none
2017,,,
2017,Ga.,1.00%,$0
2017,,2.00%,$750
2017,,3.00%,"$2,250"
2017,,4.00%,"$3,750"
2017,,5.00%,"$5,250"
2017,,6.00%,"$7,000"
2017,,,
2017,Hawaii,1.40%,$0
2017,(w),3.20%,"$2,400"
2017,,5.50%,"$4,800"
2017,,6.40%,"$9,600"
2017,,6.80%,"$14,400"
2017,,7.20%,"$19,200"
2017,,7.60%,"$24,000"
2017,,7.90%,"$36,000"
2017,,8.25%,"$48,000"
2017,,,
2017,Idaho,1.60%,$0
2017,"(a, e, p)",3.60%,"$1,454"
2017,,4.10%,"$2,908"
2017,,5.10%,"$4,362"
2017,,6.10%,"$5,816"
2017,,7.10%,"$7,270"
2017,,7.40%,"$10,905"
2017,,,
2017,Ill.,4.95%,$0
2017,,,
2017,Ind. (x),3.23%,$0
2017,,,
2017,Iowa,0.36%,$0
2017,"(f, r)",0.72%,"$1,573"
2017,,2.43%,"$3,146"
2017,,4.50%,"$6,292"
2017,,6.12%,"$14,157"
2017,,6.48%,"$23,595"
2017,,6.80%,"$31,460"
2017,,7.92%,"$47,190"
2017,,8.98%,"$70,785"
2017,,,
2017,Kans.,2.90%,$0
2017,,4.90%,"$15,000"
2017,,5.20%,"$30,000"
2017,,,
2017,Ky.,2.00%,$0
2017,(r),3.00%,"$3,000"
2017,,4.00%,"$4,000"
2017,,5.00%,"$5,000"
2017,,5.80%,"$8,000"
2017,,6.00%,"$75,000"
2017,,,
2017,La.,2.00%,$0
2017,"(f, n)",4.00%,"$12,500"
2017,,6.00%,"$50,000"
2017,,,
2017,Maine,5.80%,$0
2017,"(e, p, cc)",6.75%,"$21,050"
2017,,7.15%,"$50,000"
2017,,,
2017,Md.,2.00%,$0
2017,"(o, y)",3.00%,"$1,000"
2017,,4.00%,"$2,000"
2017,,4.75%,"$3,000"
2017,,5.00%,"$100,000"
2017,,5.25%,"$125,000"
2017,,5.50%,"$150,000"
2017,,5.75%,"$250,000"
2017,,,
2017,Mass.,5.10%,$0
2017,,,
2017,Mich.,4.25%,$0
2017,,,
2017,Minn.,5.35%,$0
2017,(p),7.05%,"$25,390"
2017,,7.85%,"$83,400"
2017,,9.85%,"$156,900"
2017,,,
2017,Miss.,3.00%,$0
2017,,4.00%,"$5,000"
2017,,5.00%,"$10,000"
2017,,,
2017,Mo.,1.50%,$0
2017,(p),2.00%,"$1,008"
2017,,2.50%,"$2,016"
2017,,3.00%,"$3,024"
2017,,3.50%,"$4,032"
2017,,4.00%,"$5,040"
2017,,4.50%,"$6,048"
2017,,5.00%,"$7,056"
2017,,5.50%,"$8,064"
2017,,6.00%,"$9,072"
2017,,,
2017,Mont.,1.00%,$0
2017,"(e, f, q)",2.00%,"$2,900"
2017,,3.00%,"$5,200"
2017,,4.00%,"$7,900"
2017,,5.00%,"$10,600"
2017,,6.00%,"$13,600"
2017,,6.90%,"$17,600"
2017,,,
2017,Nebr.,2.46%,$0
2017,"(r, bb)",3.51%,"$3,090"
2017,,5.01%,"$18,510"
2017,,6.84%,"$29,830"
2017,,,
2017,Nev.,none,none
2017,,,
2017,N.H. (c),5.00%,$0
2017,,,
2017,N.J.,1.40%,$0
2017,,1.75%,"$20,000"
2017,,3.50%,"$35,000"
2017,,5.525%,"$40,000"
2017,,6.37%,"$75,000"
2017,,8.97%,"$500,000"
2017,,,
2017,,,
2017,N.M.,1.70%,$0
2017,(i),3.20%,"$5,500"
2017,,4.70%,"$11,000"
2017,,4.90%,"$16,000"
2017,,,
2017,N.Y.,4.00%,$0
2017,(bb),4.50%,"$8,500"
2017,,5.25%,"$11,700"
2017,,5.90%,"$13,900"
2017,,6.45%,"$21,400"
2017,,6.65%,"$80,650"
2017,,6.85%,"$215,400"
2017,,8.82%,"$1,077,550"
2017,,,
2017,N.C.,5.499%,$0
2017,,,
2017,N.D.,1.10%,$0
2017,"(e, p, z)",2.04%,"$37,950"
2017,,2.27%,"$91,900"
2017,,2.64%,"$191,650"
2017,,2.90%,"$416,700"
2017,,,
2017,Ohio,0.495%,$0
2017,"(a, e, g)",0.990%,"$5,250"
2017,,1.980%,"$10,500"
2017,,2.476%,"$15,800"
2017,,2.969%,"$21,100"
2017,,3.465%,"$42,100"
2017,,3.960%,"$84,200"
2017,,4.597%,"$105,300"
2017,,4.997%,"$210,600"
2017,,,
2017,Okla.,0.50%,$0
2017,(h),1.00%,"$1,000"
2017,,2.00%,"$2,500"
2017,,3.00%,"$3,750"
2017,,4.00%,"$4,900"
2017,,5.00%,"$7,200"
2017,,,
2017,Ore.,5.00%,$0
2017,"(e, f, aa)",7.00%,"$3,350"
2017,,9.00%,"$8,450"
2017,,9.90%,"$125,000"
2017,,,
2017,Pa.,3.07%,$0
2017,,,
2017,R.I.,3.75%,$0
2017,(k),4.75%,"$61,300"
2017,,5.99%,"$139,400"
2017,,,
2017,S.C.,0.00%,$0
2017,"(e, p)",3.00%,"$2,930"
2017,,4.00%,"$5,860"
2017,,5.00%,"$8,790"
2017,,6.00%,"$11,720"
2017,,7.00%,"$14,650"
2017,,,
2017,S.D.,none,none
2017,,,
2017,Tenn. (c),5.00%,$0
2017,,,
2017,Tex.,none,none
2017,,,
2017,Utah,5.00%,$0
2017,,,
2017,Vt.,3.55%,$0
2017,"(e, p)",6.80%,"$37,950"
2017,,7.80%,"$91,900"
2017,,8.80%,"$191,650"
2017,,8.95%,"$416,700"
2017,,,
2017,Va.,2.00%,$0
2017,,3.00%,"$3,000"
2017,,5.00%,"$5,000"
2017,,5.75%,"$17,000"
2017,,,
2017,Wash.,none,none
2017,,,
2017,W.Va.,3.00%,$0
2017,,4.00%,"$10,000"
2017,,4.50%,"$25,000"
2017,,6.00%,"$40,000"
2017,,6.50%,"$60,000"
2017,,,
2017,Wis.,4.00%,$0
2017,"(e, m)",5.84%,"$11,230"
2017,,6.27%,"$22,470"
2017,,7.65%,"$247,350"
2017,,,
2017,Wyo.,none,none
2017,,,
2017,D.C.,4.00%,$0
2017,(j),6.00%,"$10,000"
2017,,6.50%,"$40,000"
2017,,8.50%,"$60,000"
2017,,8.75%,"$350,000"
2017,,8.95%,"$1,000,000"
2017,,,
2017,"(a) 2017 tax information due to data availability. As of February 2017, Arkansas and Ohio have not released their inflation adjusted brackets.",,
